Loyalty#,merged_labels
854742,New travelers
935420,The October Loyals
119015,New travelers
153998,The September Loyals
299359,The January Average
474342,The February Loyals
157902,The Q4 Boomerang
383421,The November Loyals
670294,The November Loyals
874044,The October Loyals
167016,The February Loyals
131036,The Summer-Fall Hybrids
253635,The September Loyals
169699,The Lost Holiday Drifters
886299,The Dormant Browsers
442831,The Lost Holiday Drifters
600923,New travelers
803252,New travelers
184754,The February Loyals
644945,The June Loyals
797714,The September Loyals
419893,The September Loyals
509223,The Q4 Boomerang
883255,The May Planners
371511,The September Loyals
558451,The March Loyals
638004,The Autumn Budget
204935,The February Loyals
799690,The October Loyals
485281,The Summer-Fall Hybrids
146560,New travelers
157674,The May Planners
330343,The September Loyals
828817,The January Average
953795,The September Loyals
255333,The October Loyals
412803,The September Loyals
515165,The September Loyals
119460,The June Loyals
491244,New travelers
209022,The October Loyals
691262,The March Loyals
480909,The September Loyals
690797,The November Loyals
635084,The March Loyals
614307,The September Loyals
992476,The September Loyals
215955,The Q4 Boomerang
436235,The March Loyals
566961,The May Planners
517867,The May Planners
457535,The June Loyals
361710,New travelers
205111,The December Loyals
733370,The June Loyals
791282,New travelers
352092,The January Average
120126,The Dormant Browsers
585978,The Autumn Budget
516474,The June Loyals
463971,The May Planners
365468,The February Loyals
967233,New travelers
965691,New travelers
478912,The January Average
748033,New travelers
638207,The March Loyals
691077,The November Loyals
203698,The September Loyals
293343,New travelers
545421,The May Planners
621006,The October Loyals
799630,VIPs
534905,The Summer-Fall Hybrids
244734,New travelers
275287,The May Planners
205197,The September Loyals
499482,The Q4 Boomerang
748682,The May Planners
230101,The September Loyals
916317,New travelers
744711,New travelers
146028,The October Loyals
330783,The Lost Holiday Drifters
887069,New travelers
226804,New travelers
575574,The September Loyals
259532,The June Loyals
506149,New travelers
831545,New travelers
246421,The November Loyals
625183,The March Loyals
901819,The September Loyals
752826,The February Loyals
443595,The November Loyals
116164,The Dormant Browsers
612703,The May Planners
444300,The Q4 Boomerang
449223,New travelers
651959,The September Loyals
763702,The February Loyals
876326,The October Loyals
726980,The November Loyals
652499,New travelers
863432,The September Loyals
661451,The June Loyals
384548,The Summer-Fall Hybrids
928238,The September Loyals
943756,The February Loyals
680444,The September Loyals
205413,The March Loyals
285767,The Lost Holiday Drifters
786287,The June Loyals
298063,The November Loyals
756646,The May Planners
996745,The November Loyals
670230,New travelers
995662,The March Loyals
272568,The June Loyals
276255,The November Loyals
390203,The March Loyals
943602,The Q4 Boomerang
549415,The September Loyals
716690,The September Loyals
406564,The September Loyals
581999,The February Loyals
328198,The January Average
642784,New travelers
436874,The November Loyals
169131,New travelers
381472,The November Loyals
149912,The Q4 Boomerang
564841,The October Loyals
136464,New travelers
416783,The December Loyals
452464,The Summer-Fall Hybrids
590621,New travelers
827194,The Dormant Browsers
389741,The Summer-Fall Hybrids
522866,The December Loyals
103970,The May Planners
115322,The September Loyals
578788,The Lost Holiday Drifters
725129,The October Loyals
849549,The November Loyals
680878,New travelers
303246,The May Planners
523979,New travelers
898514,The Q4 Boomerang
487228,The Summer-Fall Hybrids
857619,The June Loyals
393130,The Q4 Boomerang
238434,The October Loyals
276100,The March Loyals
733181,The January Average
276967,The Pandemic Drop-offs
971318,The June Loyals
350271,The Q4 Boomerang
838993,The Dormant Browsers
232450,The November Loyals
704559,The December Loyals
885474,The September Loyals
804890,The Q4 Boomerang
752140,The October Loyals
164224,The Q4 Boomerang
522572,The March Loyals
963502,The December Loyals
429238,The March Loyals
647133,The Summer-Fall Hybrids
165759,The November Loyals
393309,The September Loyals
969800,New travelers
311907,The June Loyals
437074,The December Loyals
200065,The May Planners
910391,The September Loyals
548565,The September Loyals
795283,The October Loyals
137968,The Summer-Fall Hybrids
836550,The Autumn Budget
840515,The May Planners
649802,The December Loyals
110073,New travelers
435156,The February Loyals
663270,The September Loyals
436318,New travelers
465424,The Summer-Fall Hybrids
355126,The October Loyals
258184,The November Loyals
279693,The May Planners
336817,New travelers
390980,The Pandemic Drop-offs
493337,New travelers
669065,The October Loyals
267566,The January Average
711319,The Lost Holiday Drifters
683239,The Pandemic Drop-offs
387834,The September Loyals
101709,The November Loyals
200321,The October Loyals
620480,The October Loyals
926277,The September Loyals
216517,The September Loyals
345238,The September Loyals
434965,New travelers
515981,The March Loyals
270337,The February Loyals
117169,The September Loyals
652194,The January Average
193917,The December Loyals
813868,New travelers
152936,New travelers
364137,The May Planners
454668,The September Loyals
493088,The June Loyals
601068,New travelers
508402,The Summer-Fall Hybrids
843233,The June Loyals
106444,The Summer-Fall Hybrids
833576,The November Loyals
782284,The September Loyals
574542,The February Loyals
623903,The December Loyals
175711,The Summer-Fall Hybrids
239606,The November Loyals
272225,New travelers
334224,The February Loyals
314718,The September Loyals
830975,The March Loyals
258323,The January Average
117240,The Summer-Fall Hybrids
362823,New travelers
312074,The June Loyals
700705,The September Loyals
281979,The February Loyals
318845,New travelers
670606,The September Loyals
551055,The March Loyals
666761,The Pandemic Drop-offs
207484,New travelers
777875,The January Average
803407,The June Loyals
128534,The November Loyals
513446,The January Average
445282,New travelers
607555,The December Loyals
709415,The March Loyals
855198,The September Loyals
261957,The November Loyals
210734,The November Loyals
425940,The June Loyals
541410,The Q4 Boomerang
561321,The June Loyals
186942,The February Loyals
250280,The December Loyals
500437,New travelers
163301,New travelers
742822,The Summer-Fall Hybrids
697477,The May Planners
364067,The October Loyals
534505,New travelers
242980,New travelers
878582,The Summer-Fall Hybrids
444646,The November Loyals
799655,The June Loyals
677717,The Dormant Browsers
756065,The March Loyals
956438,The December Loyals
244652,The September Loyals
366654,The December Loyals
461937,The June Loyals
319464,New travelers
758210,The November Loyals
262366,The November Loyals
575844,The October Loyals
577795,The March Loyals
644630,The February Loyals
779066,The September Loyals
901582,New travelers
914088,The January Average
974630,The June Loyals
680553,New travelers
426981,The September Loyals
539322,The October Loyals
570668,New travelers
171691,New travelers
732524,The May Planners
701235,The November Loyals
178081,New travelers
679638,The November Loyals
199810,The December Loyals
411533,The September Loyals
747939,The January Average
641970,The September Loyals
924153,The September Loyals
625557,The May Planners
906615,The September Loyals
682819,The November Loyals
179944,The September Loyals
457605,The Lost Holiday Drifters
795235,New travelers
482424,New travelers
168385,The November Loyals
157300,The Summer-Fall Hybrids
472225,The November Loyals
331598,The February Loyals
311636,The September Loyals
496668,New travelers
153439,New travelers
402251,The February Loyals
511226,New travelers
525918,The Dormant Browsers
782282,The October Loyals
341728,The February Loyals
155253,The Lost Holiday Drifters
258067,The Summer-Fall Hybrids
950437,The September Loyals
243734,The Summer-Fall Hybrids
613185,The January Average
809733,The June Loyals
547407,The September Loyals
169603,New travelers
275954,New travelers
538877,The September Loyals
812899,The March Loyals
875232,The February Loyals
572812,The Lost Holiday Drifters
834306,The January Average
256483,The October Loyals
466384,New travelers
565452,The October Loyals
638389,The May Planners
809216,The February Loyals
203815,The Lost Holiday Drifters
997395,The February Loyals
426439,The November Loyals
465891,The Autumn Budget
380247,The October Loyals
662380,The February Loyals
753814,The September Loyals
917585,The September Loyals
294278,New travelers
496686,The Lost Holiday Drifters
544493,The December Loyals
919055,New travelers
290638,The March Loyals
632556,The March Loyals
815541,The May Planners
840120,The September Loyals
177814,New travelers
339274,New travelers
817822,The March Loyals
248461,The February Loyals
636293,The September Loyals
210205,The May Planners
262336,The March Loyals
583718,The March Loyals
927887,The December Loyals
166537,The January Average
632816,New travelers
281032,New travelers
586076,New travelers
233958,The January Average
523188,New travelers
675405,The October Loyals
705633,New travelers
203033,The February Loyals
427036,The Dormant Browsers
549982,The May Planners
857949,New travelers
184735,The October Loyals
298712,The March Loyals
453448,The Summer-Fall Hybrids
608159,The September Loyals
416940,The Lost Holiday Drifters
455068,The May Planners
139974,New travelers
794951,The Autumn Budget
942703,The October Loyals
655016,The Lost Holiday Drifters
129071,New travelers
252531,New travelers
688168,The May Planners
530051,VIPs
917998,The September Loyals
288735,The December Loyals
529579,New travelers
891179,The September Loyals
882353,The October Loyals
899883,The Autumn Budget
597981,The March Loyals
391927,The September Loyals
454022,The December Loyals
784608,The September Loyals
357138,The February Loyals
538770,The November Loyals
670215,The December Loyals
794502,The Dormant Browsers
327098,The February Loyals
963757,The February Loyals
640163,New travelers
398819,The June Loyals
369091,The November Loyals
716961,The December Loyals
250586,The June Loyals
769361,The October Loyals
735666,The June Loyals
190791,The February Loyals
126308,New travelers
390022,New travelers
416575,The December Loyals
500788,The September Loyals
882443,New travelers
427804,New travelers
396267,The February Loyals
952222,The March Loyals
873045,The May Planners
990598,The February Loyals
384750,The June Loyals
665100,The June Loyals
235454,The Lost Holiday Drifters
833998,The June Loyals
175804,The January Average
861879,The Pandemic Drop-offs
443985,The March Loyals
701617,The December Loyals
394979,The September Loyals
464220,The September Loyals
245800,The September Loyals
952959,The February Loyals
617484,The September Loyals
430618,The September Loyals
276947,The Autumn Budget
580592,New travelers
417825,The November Loyals
622302,New travelers
397947,The January Average
139518,The September Loyals
592966,The September Loyals
321734,The Q4 Boomerang
912128,The May Planners
135578,The Dormant Browsers
933807,The May Planners
847283,New travelers
142190,The September Loyals
574506,The Dormant Browsers
408886,The October Loyals
101664,The November Loyals
307049,The November Loyals
726544,The Q4 Boomerang
337453,The Dormant Browsers
166239,The May Planners
711625,The January Average
223313,The Dormant Browsers
924796,New travelers
833052,VIPs
194009,The Summer-Fall Hybrids
288636,The Summer-Fall Hybrids
391900,The Dormant Browsers
499128,The January Average
743798,The September Loyals
779159,The September Loyals
899825,The June Loyals
756355,The September Loyals
175584,The September Loyals
435097,The June Loyals
612162,The June Loyals
797991,The December Loyals
996086,The March Loyals
499945,The June Loyals
878929,The Summer-Fall Hybrids
362841,The June Loyals
921489,The June Loyals
166705,The September Loyals
927676,The March Loyals
439068,New travelers
926058,New travelers
765223,New travelers
880580,New travelers
970637,The December Loyals
979703,The February Loyals
213480,Holiday Travelers
921403,The Lost Holiday Drifters
216040,The September Loyals
981536,The September Loyals
404801,The Q4 Boomerang
400272,The March Loyals
772081,The Q4 Boomerang
817074,The Dormant Browsers
756317,The Summer-Fall Hybrids
950593,The September Loyals
794677,The September Loyals
123344,The December Loyals
149318,The November Loyals
199374,The May Planners
713465,The September Loyals
716533,The September Loyals
411583,The March Loyals
572505,New travelers
236701,New travelers
394927,The Summer-Fall Hybrids
523210,The January Average
532592,The October Loyals
116016,The June Loyals
376072,The June Loyals
494498,The September Loyals
618409,The September Loyals
201365,The February Loyals
206108,The January Average
997121,The Autumn Budget
379446,The Q4 Boomerang
337980,The October Loyals
654919,New travelers
876269,The October Loyals
322606,The September Loyals
342583,The December Loyals
770634,The December Loyals
139270,New travelers
191869,The December Loyals
138565,The September Loyals
420439,The May Planners
575145,New travelers
991638,The May Planners
850828,The December Loyals
950356,The March Loyals
212848,The Summer-Fall Hybrids
208584,The February Loyals
401645,The March Loyals
135554,The Dormant Browsers
422204,The November Loyals
663402,Holiday Travelers
908120,The May Planners
327285,The February Loyals
454073,The December Loyals
778865,The March Loyals
542636,New travelers
593651,The September Loyals
152007,The Dormant Browsers
195684,New travelers
737477,The January Average
975749,The September Loyals
966512,The Dormant Browsers
255818,The Lost Holiday Drifters
396018,The October Loyals
854835,The Lost Holiday Drifters
550575,New travelers
917983,The September Loyals
555947,The Summer-Fall Hybrids
879177,The September Loyals
892000,New travelers
936010,New travelers
116332,The September Loyals
313681,The September Loyals
118514,New travelers
624065,The October Loyals
589765,The December Loyals
812149,The January Average
820541,The September Loyals
509149,The Pandemic Drop-offs
496233,The September Loyals
579438,New travelers
955479,The January Average
159856,The September Loyals
113476,The October Loyals
707754,The September Loyals
626510,New travelers
918042,The September Loyals
972994,The March Loyals
110262,The Dormant Browsers
304764,The Pandemic Drop-offs
923680,The November Loyals
261468,The January Average
240761,The Dormant Browsers
689477,The September Loyals
959977,The Summer-Fall Hybrids
858013,Holiday Travelers
941380,The May Planners
773986,The February Loyals
464114,The Q4 Boomerang
268293,The February Loyals
929097,The January Average
492159,The September Loyals
565876,The September Loyals
248885,The October Loyals
768010,The Summer-Fall Hybrids
817573,The February Loyals
263339,The February Loyals
848804,The February Loyals
871045,The March Loyals
123420,The December Loyals
155623,New travelers
179042,The February Loyals
883002,The December Loyals
693852,The March Loyals
618817,The October Loyals
446096,New travelers
201898,The Lost Holiday Drifters
243455,The June Loyals
514235,The May Planners
858453,The September Loyals
257393,New travelers
972795,The Summer-Fall Hybrids
875560,The December Loyals
980494,New travelers
699397,The September Loyals
561053,VIPs
898229,The March Loyals
173356,The November Loyals
663382,The October Loyals
462247,The Dormant Browsers
533365,The December Loyals
619404,The May Planners
370014,The November Loyals
672308,The June Loyals
855190,New travelers
647726,The September Loyals
112026,The December Loyals
853540,The March Loyals
400513,New travelers
755014,The May Planners
212707,The November Loyals
120192,The September Loyals
201475,The Summer-Fall Hybrids
374941,The May Planners
502141,The September Loyals
332430,The February Loyals
941882,The February Loyals
872814,The October Loyals
969378,The November Loyals
608504,New travelers
902562,The January Average
998580,The September Loyals
606600,The February Loyals
329826,The October Loyals
723912,The February Loyals
491513,The September Loyals
665031,New travelers
192355,The September Loyals
651645,New travelers
147602,The December Loyals
514042,The Summer-Fall Hybrids
945703,The Summer-Fall Hybrids
828852,The October Loyals
505871,New travelers
381748,The September Loyals
533950,The March Loyals
973070,New travelers
131721,The January Average
314842,The September Loyals
138873,The Lost Holiday Drifters
223081,New travelers
135872,The Lost Holiday Drifters
863093,New travelers
812373,The May Planners
618523,The May Planners
705113,The September Loyals
659112,The February Loyals
765955,The May Planners
375814,The May Planners
969687,The December Loyals
289732,The September Loyals
585275,The November Loyals
710364,The January Average
419275,The September Loyals
264145,The May Planners
658726,The Lost Holiday Drifters
256920,New travelers
314898,The September Loyals
140735,New travelers
284362,The October Loyals
792932,The Lost Holiday Drifters
198713,The September Loyals
713853,The May Planners
349490,The June Loyals
369242,The September Loyals
985320,The Lost Holiday Drifters
921886,The January Average
189836,The February Loyals
788870,The June Loyals
753456,The Q4 Boomerang
759847,The Dormant Browsers
605790,The November Loyals
984086,The October Loyals
442249,The February Loyals
858222,New travelers
866295,The Pandemic Drop-offs
546827,The November Loyals
938822,VIPs
300606,The December Loyals
392335,The March Loyals
189822,The September Loyals
678243,The February Loyals
138025,The Lost Holiday Drifters
290554,The November Loyals
681593,The Summer-Fall Hybrids
705006,The January Average
907077,The September Loyals
842793,The February Loyals
273144,The September Loyals
311857,New travelers
112894,New travelers
895346,The September Loyals
826149,The January Average
459128,The March Loyals
524951,New travelers
649994,The September Loyals
413101,The December Loyals
165893,The November Loyals
206207,The February Loyals
697162,The Summer-Fall Hybrids
222102,The December Loyals
752259,The March Loyals
577278,The January Average
685546,The June Loyals
931657,The Dormant Browsers
486143,The September Loyals
148767,The October Loyals
696864,The November Loyals
437403,The Lost Holiday Drifters
672649,New travelers
894532,New travelers
767648,The March Loyals
521225,The March Loyals
521486,The June Loyals
912984,New travelers
956477,The June Loyals
225920,The November Loyals
821712,New travelers
365596,The January Average
251874,The May Planners
660684,The January Average
839494,New travelers
432200,The March Loyals
467631,The May Planners
540109,The May Planners
893294,The January Average
919285,The Dormant Browsers
684491,The February Loyals
978934,New travelers
405318,The January Average
266757,The September Loyals
643912,The September Loyals
593386,The September Loyals
654122,The October Loyals
668843,The November Loyals
707424,The November Loyals
725962,The Q4 Boomerang
411686,The Dormant Browsers
481860,New travelers
164017,The Summer-Fall Hybrids
812417,The May Planners
473786,The September Loyals
438698,New travelers
732368,The December Loyals
124761,The December Loyals
126581,The March Loyals
502390,The March Loyals
940760,The October Loyals
914609,The September Loyals
717250,The June Loyals
233877,New travelers
768996,The May Planners
932526,The Summer-Fall Hybrids
323542,The February Loyals
637580,The January Average
183208,The May Planners
131342,The October Loyals
331094,The Q4 Boomerang
424126,The May Planners
869226,The September Loyals
437357,The May Planners
485040,The May Planners
840376,The February Loyals
187887,The October Loyals
113679,The September Loyals
188542,The May Planners
579990,The December Loyals
295412,The October Loyals
523904,The November Loyals
702269,The Q4 Boomerang
561917,The Q4 Boomerang
169665,The June Loyals
178720,The January Average
813725,The December Loyals
160779,New travelers
819315,New travelers
882544,The May Planners
853704,The September Loyals
521252,The March Loyals
538550,The March Loyals
851931,The November Loyals
704603,The May Planners
787018,New travelers
872079,The Q4 Boomerang
622527,The September Loyals
992488,The May Planners
616746,The Dormant Browsers
714379,The May Planners
242917,The January Average
986055,The December Loyals
601940,The May Planners
740754,The Summer-Fall Hybrids
222644,New travelers
882466,The September Loyals
233831,New travelers
216139,The December Loyals
286614,New travelers
759899,The October Loyals
122283,The Dormant Browsers
227293,The September Loyals
669368,The June Loyals
696199,The March Loyals
904920,The December Loyals
781777,The September Loyals
344671,The Q4 Boomerang
274204,The February Loyals
312933,The November Loyals
576184,The March Loyals
682356,The February Loyals
861470,The Dormant Browsers
904736,The January Average
539739,New travelers
213934,The September Loyals
461199,The September Loyals
719162,The Lost Holiday Drifters
818940,The Q4 Boomerang
563217,The November Loyals
679155,New travelers
362293,The September Loyals
564305,New travelers
659205,The December Loyals
329302,The June Loyals
280588,The May Planners
470739,New travelers
694512,The October Loyals
680485,The Lost Holiday Drifters
744612,The November Loyals
444154,The September Loyals
828040,New travelers
127279,The September Loyals
584564,The March Loyals
460943,The Lost Holiday Drifters
296141,New travelers
176521,The Summer-Fall Hybrids
314317,The March Loyals
357567,The November Loyals
734791,The October Loyals
977274,The September Loyals
202182,The September Loyals
522758,The December Loyals
389488,The January Average
700958,New travelers
139356,New travelers
355515,The September Loyals
979983,The Q4 Boomerang
974606,The October Loyals
360730,The September Loyals
221775,The January Average
116045,The September Loyals
492433,The January Average
516133,The January Average
351897,The Summer-Fall Hybrids
399704,The June Loyals
423254,The March Loyals
579584,New travelers
946645,The Lost Holiday Drifters
687463,The November Loyals
915286,The September Loyals
696504,The March Loyals
954293,The Q4 Boomerang
225576,The May Planners
605269,The March Loyals
726688,The December Loyals
795840,The Lost Holiday Drifters
802002,The March Loyals
883155,The September Loyals
664493,The January Average
967502,The Summer-Fall Hybrids
560990,The Q4 Boomerang
530955,The June Loyals
929302,The March Loyals
515134,The November Loyals
645244,The December Loyals
937254,New travelers
959673,The September Loyals
856830,The January Average
113656,New travelers
339573,The September Loyals
267717,The Q4 Boomerang
108481,New travelers
676408,The May Planners
423228,The September Loyals
307033,The September Loyals
484774,New travelers
573458,The March Loyals
372755,The January Average
909260,The May Planners
811335,The May Planners
460770,New travelers
742281,The October Loyals
238442,The January Average
535482,The Dormant Browsers
131321,The May Planners
645114,The Q4 Boomerang
429244,The January Average
951719,The December Loyals
336281,The December Loyals
673424,The October Loyals
927703,The February Loyals
636813,The November Loyals
967490,The November Loyals
256360,The March Loyals
658076,The Q4 Boomerang
933682,The Summer-Fall Hybrids
241468,New travelers
728386,The Q4 Boomerang
738890,The Lost Holiday Drifters
405928,The September Loyals
475532,The September Loyals
198147,The January Average
234435,The September Loyals
302839,The Summer-Fall Hybrids
566182,The Dormant Browsers
721973,The February Loyals
458745,The Dormant Browsers
246736,The September Loyals
703374,The Q4 Boomerang
275637,The January Average
148487,The October Loyals
581531,The October Loyals
585495,New travelers
685631,The Lost Holiday Drifters
711285,New travelers
863223,The December Loyals
988552,New travelers
519742,The September Loyals
526481,The May Planners
517538,The September Loyals
707762,New travelers
261125,The March Loyals
108666,The December Loyals
560149,The May Planners
624487,The February Loyals
657980,New travelers
884875,The January Average
635026,New travelers
199603,The March Loyals
444652,The Autumn Budget
698510,The January Average
470450,New travelers
565602,The November Loyals
891604,The September Loyals
356828,The June Loyals
478890,The September Loyals
930774,The Q4 Boomerang
789892,The October Loyals
856348,The September Loyals
932623,The September Loyals
436041,The November Loyals
372111,The September Loyals
278464,New travelers
878518,New travelers
872752,The Q4 Boomerang
432941,The Lost Holiday Drifters
607997,The March Loyals
720131,The Q4 Boomerang
913153,New travelers
263592,The June Loyals
472719,The May Planners
924630,The June Loyals
786255,The November Loyals
857771,The Lost Holiday Drifters
803177,New travelers
717891,The December Loyals
946070,The September Loyals
580554,The February Loyals
891727,The September Loyals
208517,The May Planners
354547,The March Loyals
941683,The September Loyals
412429,The Autumn Budget
912252,The November Loyals
343884,New travelers
628475,The February Loyals
201273,The Dormant Browsers
733728,The December Loyals
733096,The June Loyals
776453,The November Loyals
761613,The September Loyals
932244,New travelers
630711,The February Loyals
589101,The May Planners
782804,New travelers
980338,The December Loyals
828731,The September Loyals
456367,The February Loyals
242304,The February Loyals
929913,The November Loyals
709238,The June Loyals
606214,The March Loyals
295327,The September Loyals
419748,The September Loyals
540380,New travelers
851981,The June Loyals
948693,The May Planners
247391,The Lost Holiday Drifters
937228,The September Loyals
667634,The January Average
840059,The May Planners
884522,The January Average
102376,The Summer-Fall Hybrids
259110,The September Loyals
470671,The September Loyals
189775,The November Loyals
646189,The March Loyals
253466,The May Planners
283807,The November Loyals
312630,The Summer-Fall Hybrids
918017,The Dormant Browsers
766012,New travelers
663098,New travelers
939856,The Q4 Boomerang
515826,The March Loyals
475535,New travelers
725120,The December Loyals
151036,The Dormant Browsers
845820,The Lost Holiday Drifters
887511,The Dormant Browsers
254230,The January Average
439361,The May Planners
362471,The January Average
928644,VIPs
185830,The December Loyals
187318,The Dormant Browsers
389928,The September Loyals
444366,The November Loyals
939098,The May Planners
418793,The February Loyals
445496,The February Loyals
773865,The September Loyals
329735,The September Loyals
151327,The June Loyals
347231,The November Loyals
835973,The September Loyals
372663,The Q4 Boomerang
672904,The December Loyals
841373,The Summer-Fall Hybrids
579931,The May Planners
157704,The September Loyals
319052,The January Average
229265,The Dormant Browsers
741244,New travelers
618390,The December Loyals
814112,The Q4 Boomerang
221361,New travelers
277565,The May Planners
900753,The Pandemic Drop-offs
377928,New travelers
328116,The November Loyals
609664,New travelers
192994,The September Loyals
298671,The October Loyals
805598,New travelers
301603,The September Loyals
675240,New travelers
852012,New travelers
307047,The September Loyals
847772,The September Loyals
683503,The May Planners
220794,The September Loyals
655995,New travelers
757416,New travelers
826589,The January Average
703104,The September Loyals
523399,The Lost Holiday Drifters
648586,The February Loyals
124931,New travelers
575833,The December Loyals
161956,The Summer-Fall Hybrids
489279,The December Loyals
880805,The Q4 Boomerang
867757,The September Loyals
652518,The September Loyals
207001,The June Loyals
975846,The May Planners
198010,The September Loyals
543285,The Dormant Browsers
432843,The February Loyals
373242,The Dormant Browsers
263246,The December Loyals
110065,The Dormant Browsers
172491,New travelers
788001,The October Loyals
103383,New travelers
600712,The Summer-Fall Hybrids
666189,New travelers
738473,The September Loyals
256003,The December Loyals
881000,The January Average
889569,The February Loyals
165742,The October Loyals
576074,The September Loyals
942017,The Lost Holiday Drifters
315235,The December Loyals
426429,The October Loyals
602275,The Lost Holiday Drifters
116732,The Summer-Fall Hybrids
436010,The January Average
745920,The Summer-Fall Hybrids
988638,The March Loyals
285335,The October Loyals
722003,The May Planners
770452,The February Loyals
195960,The January Average
390297,New travelers
655957,The November Loyals
257417,The December Loyals
599394,New travelers
953198,The December Loyals
728228,The September Loyals
863459,The March Loyals
901461,New travelers
460894,The May Planners
307032,The Lost Holiday Drifters
486909,The September Loyals
160740,The March Loyals
326028,The Q4 Boomerang
573681,The September Loyals
815841,The Dormant Browsers
981195,The May Planners
333064,The September Loyals
792103,The October Loyals
426223,The January Average
545410,The September Loyals
990218,The November Loyals
614000,The November Loyals
377444,The Lost Holiday Drifters
721406,The February Loyals
302258,The September Loyals
101487,The January Average
397934,The January Average
406252,The Summer-Fall Hybrids
555118,The December Loyals
874267,The September Loyals
182235,The January Average
290620,The Q4 Boomerang
697393,The Pandemic Drop-offs
829316,New travelers
397099,New travelers
886439,The May Planners
161338,The September Loyals
594598,The September Loyals
237312,The Summer-Fall Hybrids
728302,The October Loyals
212602,New travelers
929871,The October Loyals
645508,The November Loyals
116999,The June Loyals
631854,The March Loyals
762671,The Q4 Boomerang
969938,Holiday Travelers
290564,The Summer-Fall Hybrids
634615,The Dormant Browsers
999524,The January Average
478284,The Lost Holiday Drifters
111573,The February Loyals
975477,The May Planners
581513,VIPs
145322,The March Loyals
243005,The December Loyals
306400,The June Loyals
823590,The February Loyals
121139,The October Loyals
187835,New travelers
307623,The December Loyals
331697,The February Loyals
719736,The January Average
656036,The Pandemic Drop-offs
155020,New travelers
954454,New travelers
430670,New travelers
408170,New travelers
919338,The May Planners
905787,The January Average
536794,The December Loyals
665679,New travelers
340927,The May Planners
809107,The Dormant Browsers
218917,The November Loyals
334192,New travelers
739808,The November Loyals
855635,The February Loyals
969617,New travelers
645145,The December Loyals
681399,The September Loyals
986623,The Q4 Boomerang
211058,The January Average
104673,The September Loyals
330562,The Dormant Browsers
209994,The November Loyals
611084,The May Planners
200708,The November Loyals
907252,The October Loyals
893040,The November Loyals
251012,The Summer-Fall Hybrids
276484,New travelers
377464,The November Loyals
462701,The October Loyals
715797,The Q4 Boomerang
445251,The Summer-Fall Hybrids
772484,The January Average
858817,New travelers
182543,The June Loyals
228557,New travelers
968225,The September Loyals
886876,The January Average
368027,The January Average
384409,New travelers
257506,The May Planners
299464,The June Loyals
117053,The June Loyals
265784,New travelers
136106,The June Loyals
221709,New travelers
545127,The January Average
128975,The Summer-Fall Hybrids
991275,New travelers
866403,The December Loyals
742009,The November Loyals
332823,Holiday Travelers
356613,The March Loyals
952911,The Summer-Fall Hybrids
967637,The June Loyals
445704,The October Loyals
332027,The December Loyals
778027,New travelers
225363,The November Loyals
571180,The January Average
321213,The March Loyals
190405,The Lost Holiday Drifters
619537,The May Planners
780298,The November Loyals
968312,The May Planners
487486,VIPs
807769,The November Loyals
945455,The Pandemic Drop-offs
287266,The November Loyals
445599,New travelers
738096,The September Loyals
703109,The November Loyals
512358,New travelers
380843,The May Planners
633640,The September Loyals
194886,The November Loyals
594200,New travelers
691365,New travelers
616374,The Lost Holiday Drifters
776931,New travelers
768415,The September Loyals
469702,New travelers
485795,The October Loyals
308362,The November Loyals
350692,The June Loyals
850359,The May Planners
107420,The Dormant Browsers
366500,The February Loyals
860032,The Q4 Boomerang
135134,The November Loyals
456632,The September Loyals
459517,The May Planners
708807,The May Planners
474846,The October Loyals
441631,New travelers
612186,The March Loyals
828232,The May Planners
884570,New travelers
130077,The February Loyals
695978,The September Loyals
488044,The September Loyals
998085,The October Loyals
916880,The March Loyals
328111,The February Loyals
928922,The September Loyals
939431,VIPs
112863,The November Loyals
978907,New travelers
178459,New travelers
907945,New travelers
497784,The March Loyals
651694,The September Loyals
952602,New travelers
219555,The November Loyals
828862,New travelers
487727,The Summer-Fall Hybrids
493819,The September Loyals
746296,The March Loyals
709982,The September Loyals
511437,The Q4 Boomerang
227398,New travelers
520660,The September Loyals
732694,The March Loyals
898887,New travelers
800945,New travelers
855530,The January Average
513123,The June Loyals
139022,The Dormant Browsers
973728,The September Loyals
504919,The May Planners
263069,The March Loyals
885176,The Summer-Fall Hybrids
659731,New travelers
914074,The Q4 Boomerang
204840,New travelers
696128,The March Loyals
729084,The March Loyals
188136,The May Planners
364596,New travelers
390377,The Lost Holiday Drifters
807942,New travelers
438593,New travelers
935161,The September Loyals
577360,The September Loyals
958915,The March Loyals
197890,The May Planners
984429,The November Loyals
615411,The March Loyals
843665,The June Loyals
732813,The December Loyals
376144,The Q4 Boomerang
432655,The September Loyals
740763,The October Loyals
894448,The June Loyals
881749,The January Average
199478,The January Average
533388,New travelers
350979,The June Loyals
436419,New travelers
232884,The Summer-Fall Hybrids
572663,The October Loyals
212350,The February Loyals
352501,The November Loyals
634900,The September Loyals
824712,The September Loyals
115705,The September Loyals
396471,The September Loyals
408915,New travelers
491310,VIPs
505798,The September Loyals
252271,The September Loyals
428765,New travelers
703972,New travelers
824163,The November Loyals
757834,The February Loyals
244398,The March Loyals
868154,The January Average
107037,VIPs
219160,New travelers
448273,The March Loyals
731286,New travelers
