Loyalty#,Behavioral_Cluster_Name
674372,Low-travel individuals
248950,Low-travel individuals
700096,"Formers Points accumulator
(2020)"
815804,"Consistent low travelers
(Use points)"
205087,"Consistent low travelers
(Use points)"
979634,"Formers Points accumulator
(2020)"
546231,"Consistent low travelers
(Use points)"
990918,"Points accumulator currently
(2021)"
967772,"Points accumulator currently
(2021)"
286718,"Consistent low travelers
(Use points)"
404012,Low-travel individuals
949134,"Stable average travelers
(Loyal)"
446403,"Points accumulator currently
(2021)"
822066,"Growing travelers
(Now average)"
375757,"Stable average travelers
(Loyal)"
652816,"Stable average travelers
(Loyal)"
669028,"Formers Points accumulator
(2020)"
503673,"Points accumulator currently
(2021)"
950029,"Formers Points accumulator
(2020)"
511444,"Consistent low travelers
(Use points)"
818995,"Consistent low travelers
(Use points)"
257981,"Points accumulator currently
(2021)"
203293,"Formers Points accumulator
(2020)"
281305,"Consistent low travelers
(Use points)"
136232,"Formers Points accumulator
(2020)"
348475,"Consistent low travelers
(Use points)"
399514,"Lost custumers
(Traveled more before)"
919340,"Points accumulator currently
(2021)"
974330,"Points accumulator currently
(2021)"
895544,"Stable average travelers
(Loyal)"
272893,"Stable average travelers
(Loyal)"
835149,"Growing travelers
(Now average)"
366049,Low-travel individuals
879416,Low-travel individuals
999120,"Consistent low travelers
(Use points)"
521431,"Points accumulator currently
(2021)"
522261,"Consistent low travelers
(Use points)"
454609,Low-travel individuals
707273,"Lost custumers
(Traveled more before)"
331325,"Consistent low travelers
(Use points)"
682528,"Stable average travelers
(Loyal)"
937862,"Consistent low travelers
(Use points)"
488071,"Points accumulator currently
(2021)"
499346,Low-travel individuals
620078,"Gained customers
(Now traveling average)"
757387,"Growing travelers
(Now average)"
786391,"Points accumulator currently
(2021)"
837273,Low-travel individuals
841204,"Points accumulator currently
(2021)"
844348,"Consistent low travelers
(Use points)"
261964,"Formers Points accumulator
(2020)"
712114,"Gained customers
(Now traveling average)"
323593,Low-travel individuals
790341,"Formers Points accumulator
(2020)"
910576,"Stable average travelers
(Loyal)"
132756,"Growing travelers
(Now average)"
246800,"Growing travelers
(Now average)"
298156,Low-travel individuals
375722,"Growing travelers
(Now average)"
411715,Low-travel individuals
532848,"Lost custumers
(Traveled more before)"
816122,Low-travel individuals
894691,"Gained customers
(Now traveling average)"
976695,"Formers Points accumulator
(2020)"
991230,"Stable average travelers
(Loyal)"
383842,"Gained customers
(Now traveling average)"
459948,"Points accumulator currently
(2021)"
664054,"Stable average travelers
(Loyal)"
264409,"Gained customers
(Now traveling average)"
248487,"Stable average travelers
(Loyal)"
507486,"Formers Points accumulator
(2020)"
385638,"Lost custumers
(Traveled more before)"
662166,"Formers Points accumulator
(2020)"
299573,"Formers Points accumulator
(2020)"
839422,"Consistent low travelers
(Use points)"
250609,Low-travel individuals
131673,"Formers Points accumulator
(2020)"
728316,"Lost custumers
(Traveled more before)"
530436,"Points accumulator currently
(2021)"
653340,"Formers Points accumulator
(2020)"
271641,"Gained customers
(Now traveling average)"
745636,"Gained customers
(Now traveling average)"
852597,"Points accumulator currently
(2021)"
724033,"Points accumulator currently
(2021)"
130548,"Stable average travelers
(Loyal)"
198813,"Points accumulator currently
(2021)"
270011,"Consistent low travelers
(Use points)"
344990,"Formers Points accumulator
(2020)"
369121,"Formers Points accumulator
(2020)"
591758,"Points accumulator currently
(2021)"
628320,"Stable average travelers
(Loyal)"
741725,"Lost custumers
(Traveled more before)"
562655,"Consistent low travelers
(Use points)"
164973,"Stable average travelers
(Loyal)"
394363,Low-travel individuals
577195,Low-travel individuals
317060,"Consistent low travelers
(Use points)"
511302,"Formers Points accumulator
(2020)"
682654,"Lost custumers
(Traveled more before)"
365635,"Formers Points accumulator
(2020)"
616739,"Lost custumers
(Traveled more before)"
835760,"Consistent low travelers
(Use points)"
777990,"Consistent low travelers
(Use points)"
867833,"Formers Points accumulator
(2020)"
245419,"Stable average travelers
(Loyal)"
731819,"Stable average travelers
(Loyal)"
296626,"Stable average travelers
(Loyal)"
553954,"Growing travelers
(Now average)"
108381,"Stable average travelers
(Loyal)"
176284,"Consistent low travelers
(Use points)"
510505,"Formers Points accumulator
(2020)"
639258,"Lost custumers
(Traveled more before)"
446135,Low-travel individuals
557138,"Gained customers
(Now traveling average)"
664666,"Consistent low travelers
(Use points)"
675243,"Stable average travelers
(Loyal)"
825333,"Gained customers
(Now traveling average)"
685208,"Formers Points accumulator
(2020)"
787571,"Lost custumers
(Traveled more before)"
339941,"Points accumulator currently
(2021)"
539370,"Formers Points accumulator
(2020)"
547213,"Stable average travelers
(Loyal)"
722538,"Stable average travelers
(Loyal)"
535436,"Growing travelers
(Now average)"
885739,"Consistent low travelers
(Use points)"
297379,"Consistent low travelers
(Use points)"
921899,"Stable average travelers
(Loyal)"
511541,"Growing travelers
(Now average)"
122685,"Formers Points accumulator
(2020)"
401760,"Formers Points accumulator
(2020)"
247514,"Consistent low travelers
(Use points)"
992028,"Formers Points accumulator
(2020)"
782078,"Gained customers
(Now traveling average)"
710005,"Consistent low travelers
(Use points)"
546163,"Gained customers
(Now traveling average)"
838283,"Stable average travelers
(Loyal)"
281737,"Gained customers
(Now traveling average)"
344669,Low-travel individuals
128325,"Gained customers
(Now traveling average)"
146400,"Gained customers
(Now traveling average)"
855394,"Gained customers
(Now traveling average)"
573964,"Points accumulator currently
(2021)"
369739,"Stable average travelers
(Loyal)"
667262,"Formers Points accumulator
(2020)"
758656,"Lost custumers
(Traveled more before)"
286927,"Consistent low travelers
(Use points)"
552278,"Formers Points accumulator
(2020)"
632130,"Stable average travelers
(Loyal)"
789624,"Points accumulator currently
(2021)"
706497,"Points accumulator currently
(2021)"
963487,"Stable average travelers
(Loyal)"
343247,Low-travel individuals
657748,"Consistent low travelers
(Use points)"
186295,"Points accumulator currently
(2021)"
112733,"Stable average travelers
(Loyal)"
781647,"Points accumulator currently
(2021)"
157771,"Lost custumers
(Traveled more before)"
103860,"Formers Points accumulator
(2020)"
538341,"Formers Points accumulator
(2020)"
672255,Low-travel individuals
991529,"Stable average travelers
(Loyal)"
363178,"Lost custumers
(Traveled more before)"
529471,"Stable average travelers
(Loyal)"
549404,"Gained customers
(Now traveling average)"
874984,"Points accumulator currently
(2021)"
170079,"Stable average travelers
(Loyal)"
467401,"Gained customers
(Now traveling average)"
803656,"Growing travelers
(Now average)"
495148,"Points accumulator currently
(2021)"
965254,"Gained customers
(Now traveling average)"
286551,"Formers Points accumulator
(2020)"
123908,"Consistent low travelers
(Use points)"
289472,"Growing travelers
(Now average)"
692628,"Consistent low travelers
(Use points)"
803956,"Stable average travelers
(Loyal)"
608850,"Stable average travelers
(Loyal)"
788091,"Stable average travelers
(Loyal)"
110030,"Lost custumers
(Traveled more before)"
307136,"Consistent low travelers
(Use points)"
277025,"Lost custumers
(Traveled more before)"
484894,"Formers Points accumulator
(2020)"
252476,"Consistent low travelers
(Use points)"
512071,"Stable average travelers
(Loyal)"
789004,"Points accumulator currently
(2021)"
948325,"Consistent low travelers
(Use points)"
210416,"Stable average travelers
(Loyal)"
349153,"Formers Points accumulator
(2020)"
328213,"Formers Points accumulator
(2020)"
554104,"Points accumulator currently
(2021)"
260622,"Growing travelers
(Now average)"
692671,"Formers Points accumulator
(2020)"
725807,"Stable average travelers
(Loyal)"
308991,"Stable average travelers
(Loyal)"
330365,"Stable average travelers
(Loyal)"
873488,"Consistent low travelers
(Use points)"
278898,"Stable average travelers
(Loyal)"
597209,"Formers Points accumulator
(2020)"
560104,"Consistent low travelers
(Use points)"
941064,"Points accumulator currently
(2021)"
347466,"Consistent low travelers
(Use points)"
448654,"Consistent low travelers
(Use points)"
423432,"Formers Points accumulator
(2020)"
395168,"Gained customers
(Now traveling average)"
464799,"Gained customers
(Now traveling average)"
600309,"Gained customers
(Now traveling average)"
810338,"Consistent low travelers
(Use points)"
153582,"Gained customers
(Now traveling average)"
349001,"Stable average travelers
(Loyal)"
748649,"Stable average travelers
(Loyal)"
815248,Low-travel individuals
963814,"Stable average travelers
(Loyal)"
999498,"Points accumulator currently
(2021)"
870857,"Formers Points accumulator
(2020)"
640588,"Points accumulator currently
(2021)"
310853,"Formers Points accumulator
(2020)"
579710,"Growing travelers
(Now average)"
426533,"Formers Points accumulator
(2020)"
309277,"Consistent low travelers
(Use points)"
850092,"Growing travelers
(Now average)"
611046,Low-travel individuals
921191,Low-travel individuals
218277,"Stable average travelers
(Loyal)"
232703,"Stable average travelers
(Loyal)"
559261,Low-travel individuals
987425,"Formers Points accumulator
(2020)"
553453,"Growing travelers
(Now average)"
738467,"Stable average travelers
(Loyal)"
862096,"Points accumulator currently
(2021)"
420738,"Points accumulator currently
(2021)"
106978,"Stable average travelers
(Loyal)"
985183,"Points accumulator currently
(2021)"
224740,"Formers Points accumulator
(2020)"
440885,"Consistent low travelers
(Use points)"
590246,"Formers Points accumulator
(2020)"
519984,"Stable average travelers
(Loyal)"
716197,"Gained customers
(Now traveling average)"
413815,"Points accumulator currently
(2021)"
499658,"Consistent low travelers
(Use points)"
213723,"Formers Points accumulator
(2020)"
232203,"Growing travelers
(Now average)"
663746,Low-travel individuals
986143,"Consistent low travelers
(Use points)"
764302,Low-travel individuals
161574,"Points accumulator currently
(2021)"
494899,"Stable average travelers
(Loyal)"
371402,Low-travel individuals
628669,"Points accumulator currently
(2021)"
979639,"Stable average travelers
(Loyal)"
220616,"Formers Points accumulator
(2020)"
840038,"Consistent low travelers
(Use points)"
986288,"Stable average travelers
(Loyal)"
638162,"Consistent low travelers
(Use points)"
642976,"Gained customers
(Now traveling average)"
208649,"Consistent low travelers
(Use points)"
623861,"Points accumulator currently
(2021)"
977037,Low-travel individuals
216269,"Stable average travelers
(Loyal)"
817158,"Formers Points accumulator
(2020)"
937645,"Points accumulator currently
(2021)"
721225,"Points accumulator currently
(2021)"
723978,"Stable average travelers
(Loyal)"
742493,"Points accumulator currently
(2021)"
298232,"Points accumulator currently
(2021)"
348065,"Growing travelers
(Now average)"
967017,"Stable average travelers
(Loyal)"
347276,"Lost custumers
(Traveled more before)"
456887,"Points accumulator currently
(2021)"
506372,"Gained customers
(Now traveling average)"
506749,Low-travel individuals
527773,"Points accumulator currently
(2021)"
605127,"Formers Points accumulator
(2020)"
728837,"Formers Points accumulator
(2020)"
877251,"Stable average travelers
(Loyal)"
820542,"Consistent low travelers
(Use points)"
247247,"Lost custumers
(Traveled more before)"
434136,"Formers Points accumulator
(2020)"
781970,"Formers Points accumulator
(2020)"
737474,"Points accumulator currently
(2021)"
540966,"Consistent low travelers
(Use points)"
470334,"Consistent low travelers
(Use points)"
420434,"Consistent low travelers
(Use points)"
515579,"Lost custumers
(Traveled more before)"
523722,"Consistent low travelers
(Use points)"
617960,"Points accumulator currently
(2021)"
911372,"Points accumulator currently
(2021)"
199021,"Lost custumers
(Traveled more before)"
375890,"Consistent low travelers
(Use points)"
785114,"Gained customers
(Now traveling average)"
875657,"Points accumulator currently
(2021)"
742359,"Gained customers
(Now traveling average)"
877595,"Points accumulator currently
(2021)"
470738,"Formers Points accumulator
(2020)"
219714,"Points accumulator currently
(2021)"
411094,"Points accumulator currently
(2021)"
824917,"Stable average travelers
(Loyal)"
109660,"Stable average travelers
(Loyal)"
202358,"Formers Points accumulator
(2020)"
924132,"Formers Points accumulator
(2020)"
177518,"Stable average travelers
(Loyal)"
304824,"Consistent low travelers
(Use points)"
677322,"Formers Points accumulator
(2020)"
817066,"Stable average travelers
(Loyal)"
237018,"Formers Points accumulator
(2020)"
719576,"Gained customers
(Now traveling average)"
579890,"Formers Points accumulator
(2020)"
855922,"Stable average travelers
(Loyal)"
386790,"Consistent low travelers
(Use points)"
441670,"Lost custumers
(Traveled more before)"
455651,"Stable average travelers
(Loyal)"
488549,"Stable average travelers
(Loyal)"
626542,"Consistent low travelers
(Use points)"
854077,"Consistent low travelers
(Use points)"
854704,"Points accumulator currently
(2021)"
310396,"Stable average travelers
(Loyal)"
319469,"Growing travelers
(Now average)"
957419,"Points accumulator currently
(2021)"
201276,"Consistent low travelers
(Use points)"
949612,Low-travel individuals
765481,"Points accumulator currently
(2021)"
325935,"Points accumulator currently
(2021)"
982969,"Stable average travelers
(Loyal)"
293496,"Points accumulator currently
(2021)"
501552,"Formers Points accumulator
(2020)"
515049,"Stable average travelers
(Loyal)"
641384,"Consistent low travelers
(Use points)"
734801,"Formers Points accumulator
(2020)"
833683,"Points accumulator currently
(2021)"
880849,"Stable average travelers
(Loyal)"
960708,"Points accumulator currently
(2021)"
247607,"Consistent low travelers
(Use points)"
390350,"Points accumulator currently
(2021)"
924089,"Points accumulator currently
(2021)"
410702,"Points accumulator currently
(2021)"
937484,Low-travel individuals
548335,"Points accumulator currently
(2021)"
567805,Low-travel individuals
631801,"Gained customers
(Now traveling average)"
921392,Low-travel individuals
502848,"Formers Points accumulator
(2020)"
195150,"Stable average travelers
(Loyal)"
396997,"Stable average travelers
(Loyal)"
904802,"Lost custumers
(Traveled more before)"
129030,"Points accumulator currently
(2021)"
329039,"Stable average travelers
(Loyal)"
521576,"Points accumulator currently
(2021)"
111329,"Consistent low travelers
(Use points)"
454327,"Consistent low travelers
(Use points)"
747395,"Formers Points accumulator
(2020)"
989816,"Stable average travelers
(Loyal)"
131893,"Points accumulator currently
(2021)"
900894,"Formers Points accumulator
(2020)"
277367,"Consistent low travelers
(Use points)"
807152,"Consistent low travelers
(Use points)"
354464,"Points accumulator currently
(2021)"
359360,"Points accumulator currently
(2021)"
606060,"Growing travelers
(Now average)"
997439,"Stable average travelers
(Loyal)"
113831,"Stable average travelers
(Loyal)"
643854,"Formers Points accumulator
(2020)"
858352,"Consistent low travelers
(Use points)"
133608,"Consistent low travelers
(Use points)"
224924,"Formers Points accumulator
(2020)"
205505,"Formers Points accumulator
(2020)"
305102,"Points accumulator currently
(2021)"
369000,"Stable average travelers
(Loyal)"
837175,"Formers Points accumulator
(2020)"
632638,"Stable average travelers
(Loyal)"
876757,"Growing travelers
(Now average)"
187161,"Lost custumers
(Traveled more before)"
948145,"Consistent low travelers
(Use points)"
133518,"Formers Points accumulator
(2020)"
716750,"Growing travelers
(Now average)"
671368,"Points accumulator currently
(2021)"
877242,"Stable average travelers
(Loyal)"
975613,"Lost custumers
(Traveled more before)"
130419,"Stable average travelers
(Loyal)"
454663,"Stable average travelers
(Loyal)"
523194,"Gained customers
(Now traveling average)"
628211,"Stable average travelers
(Loyal)"
690984,Low-travel individuals
871124,"Formers Points accumulator
(2020)"
890882,Low-travel individuals
311556,"Stable average travelers
(Loyal)"
969732,"Stable average travelers
(Loyal)"
866242,"Formers Points accumulator
(2020)"
821137,"Stable average travelers
(Loyal)"
495787,"Points accumulator currently
(2021)"
836706,"Formers Points accumulator
(2020)"
494284,"Points accumulator currently
(2021)"
156355,"Growing travelers
(Now average)"
521653,"Formers Points accumulator
(2020)"
412203,"Consistent low travelers
(Use points)"
603968,"Growing travelers
(Now average)"
485300,Low-travel individuals
904992,"Gained customers
(Now traveling average)"
213813,"Formers Points accumulator
(2020)"
556982,"Growing travelers
(Now average)"
213113,"Formers Points accumulator
(2020)"
355908,"Formers Points accumulator
(2020)"
138369,"Points accumulator currently
(2021)"
845994,"Consistent low travelers
(Use points)"
811959,Low-travel individuals
568172,"Consistent low travelers
(Use points)"
971670,"Gained customers
(Now traveling average)"
336139,"Formers Points accumulator
(2020)"
750454,"Growing travelers
(Now average)"
655082,"Stable average travelers
(Loyal)"
206773,"Stable average travelers
(Loyal)"
214639,"Points accumulator currently
(2021)"
543456,"Growing travelers
(Now average)"
451711,"Growing travelers
(Now average)"
998934,"Points accumulator currently
(2021)"
795512,"Points accumulator currently
(2021)"
116897,Low-travel individuals
715689,"Growing travelers
(Now average)"
865066,"Gained customers
(Now traveling average)"
305556,Low-travel individuals
970964,"Formers Points accumulator
(2020)"
654941,"Stable average travelers
(Loyal)"
746402,"Stable average travelers
(Loyal)"
460629,"Formers Points accumulator
(2020)"
768354,"Formers Points accumulator
(2020)"
238640,"Gained customers
(Now traveling average)"
745908,"Consistent low travelers
(Use points)"
360537,"Points accumulator currently
(2021)"
679253,"Gained customers
(Now traveling average)"
386825,"Formers Points accumulator
(2020)"
583252,"Growing travelers
(Now average)"
568171,"Consistent low travelers
(Use points)"
885848,"Consistent low travelers
(Use points)"
734938,"Lost custumers
(Traveled more before)"
780973,"Formers Points accumulator
(2020)"
128633,"Points accumulator currently
(2021)"
511588,"Stable average travelers
(Loyal)"
536577,"Points accumulator currently
(2021)"
580068,"Lost custumers
(Traveled more before)"
661088,"Stable average travelers
(Loyal)"
114553,"Stable average travelers
(Loyal)"
736829,"Consistent low travelers
(Use points)"
737940,"Formers Points accumulator
(2020)"
189294,"Gained customers
(Now traveling average)"
349638,"Consistent low travelers
(Use points)"
577386,"Points accumulator currently
(2021)"
504663,"Lost custumers
(Traveled more before)"
756929,"Stable average travelers
(Loyal)"
782485,"Stable average travelers
(Loyal)"
196016,"Points accumulator currently
(2021)"
604077,Low-travel individuals
520137,"Consistent low travelers
(Use points)"
692151,"Points accumulator currently
(2021)"
188033,"Formers Points accumulator
(2020)"
634185,"Points accumulator currently
(2021)"
374881,"Stable average travelers
(Loyal)"
800800,"Gained customers
(Now traveling average)"
676622,"Consistent low travelers
(Use points)"
894175,"Points accumulator currently
(2021)"
492789,"Formers Points accumulator
(2020)"
586164,"Formers Points accumulator
(2020)"
243557,"Consistent low travelers
(Use points)"
422436,"Gained customers
(Now traveling average)"
295884,"Stable average travelers
(Loyal)"
845319,"Points accumulator currently
(2021)"
440618,"Stable average travelers
(Loyal)"
299585,"Points accumulator currently
(2021)"
540796,"Lost custumers
(Traveled more before)"
771872,"Gained customers
(Now traveling average)"
883489,"Consistent low travelers
(Use points)"
945761,Low-travel individuals
958709,"Points accumulator currently
(2021)"
465692,"Growing travelers
(Now average)"
586711,"Formers Points accumulator
(2020)"
555001,"Formers Points accumulator
(2020)"
196442,"Stable average travelers
(Loyal)"
650486,"Formers Points accumulator
(2020)"
830385,"Formers Points accumulator
(2020)"
627485,"Stable average travelers
(Loyal)"
467510,"Lost custumers
(Traveled more before)"
766530,"Stable average travelers
(Loyal)"
131997,"Formers Points accumulator
(2020)"
174669,Low-travel individuals
999891,"Lost custumers
(Traveled more before)"
645566,"Consistent low travelers
(Use points)"
675457,"Points accumulator currently
(2021)"
122858,Low-travel individuals
127946,"Points accumulator currently
(2021)"
474945,"Points accumulator currently
(2021)"
509965,"Points accumulator currently
(2021)"
669812,"Formers Points accumulator
(2020)"
695965,"Gained customers
(Now traveling average)"
925819,"Stable average travelers
(Loyal)"
941865,"Points accumulator currently
(2021)"
793645,"Formers Points accumulator
(2020)"
445839,"Consistent low travelers
(Use points)"
708555,Low-travel individuals
159960,"Formers Points accumulator
(2020)"
963541,"Gained customers
(Now traveling average)"
218383,"Formers Points accumulator
(2020)"
696577,"Consistent low travelers
(Use points)"
602783,"Points accumulator currently
(2021)"
575612,"Points accumulator currently
(2021)"
196467,"Points accumulator currently
(2021)"
838885,"Formers Points accumulator
(2020)"
444022,"Points accumulator currently
(2021)"
838784,"Lost custumers
(Traveled more before)"
701803,"Points accumulator currently
(2021)"
802797,"Stable average travelers
(Loyal)"
832431,"Points accumulator currently
(2021)"
157712,"Formers Points accumulator
(2020)"
381307,"Consistent low travelers
(Use points)"
562661,"Gained customers
(Now traveling average)"
209134,Low-travel individuals
121410,"Stable average travelers
(Loyal)"
668599,"Stable average travelers
(Loyal)"
195419,"Formers Points accumulator
(2020)"
198625,"Points accumulator currently
(2021)"
261426,"Lost custumers
(Traveled more before)"
435049,"Consistent low travelers
(Use points)"
789797,"Stable average travelers
(Loyal)"
898587,"Lost custumers
(Traveled more before)"
122577,"Consistent low travelers
(Use points)"
197320,"Consistent low travelers
(Use points)"
776613,"Stable average travelers
(Loyal)"
249408,"Gained customers
(Now traveling average)"
582929,"Formers Points accumulator
(2020)"
122049,"Points accumulator currently
(2021)"
559362,"Stable average travelers
(Loyal)"
785223,"Points accumulator currently
(2021)"
197514,"Points accumulator currently
(2021)"
539144,"Formers Points accumulator
(2020)"
803586,"Consistent low travelers
(Use points)"
561933,Low-travel individuals
475690,"Consistent low travelers
(Use points)"
744778,"Consistent low travelers
(Use points)"
612060,"Consistent low travelers
(Use points)"
859508,"Gained customers
(Now traveling average)"
261780,"Consistent low travelers
(Use points)"
482938,Low-travel individuals
944093,"Stable average travelers
(Loyal)"
796099,"Stable average travelers
(Loyal)"
807074,Low-travel individuals
530206,"Points accumulator currently
(2021)"
915287,Low-travel individuals
471188,"Consistent low travelers
(Use points)"
454041,"Consistent low travelers
(Use points)"
220806,"Stable average travelers
(Loyal)"
789190,"Consistent low travelers
(Use points)"
925198,Low-travel individuals
984798,"Points accumulator currently
(2021)"
311619,"Growing travelers
(Now average)"
545744,"Consistent low travelers
(Use points)"
438875,"Growing travelers
(Now average)"
898149,"Growing travelers
(Now average)"
537829,Low-travel individuals
747315,"Formers Points accumulator
(2020)"
496759,"Consistent low travelers
(Use points)"
686223,Low-travel individuals
904974,Low-travel individuals
215089,"Stable average travelers
(Loyal)"
437545,"Points accumulator currently
(2021)"
987171,"Consistent low travelers
(Use points)"
152148,"Consistent low travelers
(Use points)"
932363,"Gained customers
(Now traveling average)"
808721,"Consistent low travelers
(Use points)"
155488,"Points accumulator currently
(2021)"
969483,"Growing travelers
(Now average)"
948591,"Gained customers
(Now traveling average)"
548752,"Stable average travelers
(Loyal)"
818567,"Stable average travelers
(Loyal)"
190149,"Formers Points accumulator
(2020)"
563587,"Consistent low travelers
(Use points)"
264107,"Consistent low travelers
(Use points)"
211217,"Points accumulator currently
(2021)"
169857,"Consistent low travelers
(Use points)"
482351,"Gained customers
(Now traveling average)"
793094,"Points accumulator currently
(2021)"
848562,"Stable average travelers
(Loyal)"
330779,"Formers Points accumulator
(2020)"
687962,"Stable average travelers
(Loyal)"
450205,"Growing travelers
(Now average)"
100727,"Stable average travelers
(Loyal)"
363866,"Lost custumers
(Traveled more before)"
743241,"Formers Points accumulator
(2020)"
701645,"Gained customers
(Now traveling average)"
435358,Low-travel individuals
686371,"Gained customers
(Now traveling average)"
464105,"Points accumulator currently
(2021)"
152681,"Points accumulator currently
(2021)"
367492,"Gained customers
(Now traveling average)"
568734,"Consistent low travelers
(Use points)"
883056,Low-travel individuals
352617,"Points accumulator currently
(2021)"
131956,Low-travel individuals
395912,"Formers Points accumulator
(2020)"
572045,"Gained customers
(Now traveling average)"
575030,"Growing travelers
(Now average)"
211715,"Lost custumers
(Traveled more before)"
554761,"Points accumulator currently
(2021)"
566165,"Points accumulator currently
(2021)"
124195,"Gained customers
(Now traveling average)"
400079,"Growing travelers
(Now average)"
946172,"Consistent low travelers
(Use points)"
957901,"Gained customers
(Now traveling average)"
995142,"Formers Points accumulator
(2020)"
157879,"Growing travelers
(Now average)"
441741,"Consistent low travelers
(Use points)"
461354,"Gained customers
(Now traveling average)"
582690,"Formers Points accumulator
(2020)"
751990,"Points accumulator currently
(2021)"
743121,"Formers Points accumulator
(2020)"
773805,"Points accumulator currently
(2021)"
166953,"Consistent low travelers
(Use points)"
235428,"Formers Points accumulator
(2020)"
238556,"Stable average travelers
(Loyal)"
657946,"Gained customers
(Now traveling average)"
839362,"Stable average travelers
(Loyal)"
938719,Low-travel individuals
978130,"Consistent low travelers
(Use points)"
707470,"Consistent low travelers
(Use points)"
950445,"Formers Points accumulator
(2020)"
140768,"Growing travelers
(Now average)"
857845,"Stable average travelers
(Loyal)"
193928,"Points accumulator currently
(2021)"
755070,"Points accumulator currently
(2021)"
801338,"Formers Points accumulator
(2020)"
274354,"Consistent low travelers
(Use points)"
834571,"Consistent low travelers
(Use points)"
206871,"Stable average travelers
(Loyal)"
242789,"Consistent low travelers
(Use points)"
958791,"Formers Points accumulator
(2020)"
134760,"Formers Points accumulator
(2020)"
874612,"Lost custumers
(Traveled more before)"
283290,"Consistent low travelers
(Use points)"
616447,Low-travel individuals
653851,"Growing travelers
(Now average)"
929980,"Stable average travelers
(Loyal)"
810448,"Points accumulator currently
(2021)"
959728,"Gained customers
(Now traveling average)"
515444,Low-travel individuals
953784,"Gained customers
(Now traveling average)"
536186,"Stable average travelers
(Loyal)"
390874,"Points accumulator currently
(2021)"
509909,"Lost custumers
(Traveled more before)"
923560,"Points accumulator currently
(2021)"
421001,"Formers Points accumulator
(2020)"
917610,"Points accumulator currently
(2021)"
285579,"Points accumulator currently
(2021)"
769976,"Lost custumers
(Traveled more before)"
837705,"Points accumulator currently
(2021)"
614164,"Stable average travelers
(Loyal)"
944261,"Formers Points accumulator
(2020)"
432564,"Growing travelers
(Now average)"
653354,"Gained customers
(Now traveling average)"
750162,"Gained customers
(Now traveling average)"
757047,"Stable average travelers
(Loyal)"
808005,"Points accumulator currently
(2021)"
614246,"Points accumulator currently
(2021)"
103731,"Consistent low travelers
(Use points)"
453578,Low-travel individuals
771035,"Stable average travelers
(Loyal)"
893427,"Gained customers
(Now traveling average)"
232609,"Consistent low travelers
(Use points)"
191057,"Lost custumers
(Traveled more before)"
844152,"Consistent low travelers
(Use points)"
460929,"Stable average travelers
(Loyal)"
630209,"Growing travelers
(Now average)"
219043,"Consistent low travelers
(Use points)"
537711,"Stable average travelers
(Loyal)"
122009,"Lost custumers
(Traveled more before)"
453136,"Stable average travelers
(Loyal)"
922188,"Points accumulator currently
(2021)"
780529,Low-travel individuals
721438,"Stable average travelers
(Loyal)"
761015,"Consistent low travelers
(Use points)"
671528,"Points accumulator currently
(2021)"
240500,Low-travel individuals
800220,"Gained customers
(Now traveling average)"
749801,"Points accumulator currently
(2021)"
625434,"Stable average travelers
(Loyal)"
505070,Low-travel individuals
120554,"Consistent low travelers
(Use points)"
962661,"Points accumulator currently
(2021)"
622697,"Growing travelers
(Now average)"
501856,"Stable average travelers
(Loyal)"
893057,"Consistent low travelers
(Use points)"
541163,"Growing travelers
(Now average)"
736615,"Consistent low travelers
(Use points)"
967883,"Formers Points accumulator
(2020)"
248011,"Formers Points accumulator
(2020)"
959137,"Points accumulator currently
(2021)"
591854,"Growing travelers
(Now average)"
346225,"Consistent low travelers
(Use points)"
625318,Low-travel individuals
450150,"Lost custumers
(Traveled more before)"
569315,"Stable average travelers
(Loyal)"
622036,Low-travel individuals
287343,Low-travel individuals
226842,"Formers Points accumulator
(2020)"
802084,Low-travel individuals
540268,"Growing travelers
(Now average)"
504190,Low-travel individuals
566630,"Points accumulator currently
(2021)"
374639,"Stable average travelers
(Loyal)"
447470,"Points accumulator currently
(2021)"
442306,"Points accumulator currently
(2021)"
901978,"Gained customers
(Now traveling average)"
330040,"Points accumulator currently
(2021)"
899009,"Stable average travelers
(Loyal)"
988510,"Stable average travelers
(Loyal)"
124355,"Consistent low travelers
(Use points)"
429557,"Formers Points accumulator
(2020)"
176599,"Formers Points accumulator
(2020)"
550058,"Consistent low travelers
(Use points)"
577872,"Lost custumers
(Traveled more before)"
731696,"Points accumulator currently
(2021)"
773086,"Growing travelers
(Now average)"
713423,"Stable average travelers
(Loyal)"
965154,Low-travel individuals
432938,"Points accumulator currently
(2021)"
757446,"Stable average travelers
(Loyal)"
531293,"Growing travelers
(Now average)"
763132,"Stable average travelers
(Loyal)"
271680,"Points accumulator currently
(2021)"
547575,"Points accumulator currently
(2021)"
845041,"Points accumulator currently
(2021)"
856705,"Formers Points accumulator
(2020)"
532945,"Gained customers
(Now traveling average)"
111584,"Consistent low travelers
(Use points)"
612339,"Formers Points accumulator
(2020)"
720514,"Stable average travelers
(Loyal)"
413426,"Stable average travelers
(Loyal)"
702746,"Points accumulator currently
(2021)"
442458,"Points accumulator currently
(2021)"
513553,"Consistent low travelers
(Use points)"
665645,Low-travel individuals
724378,"Consistent low travelers
(Use points)"
701308,"Points accumulator currently
(2021)"
