Loyalty#,Value_Based_Cluster_Name
352242,Long-tenure
352280,New engaged
352306,High-Value Low transactions
352337,Long-tenure
352377,Long-tenure
352424,Long-tenure
352490,Fly fanatics
352501,High-Value Frequent Flyers
352581,Lost Occasional Travelers
352582,Fly fanatics
352617,Long-tenure
352653,Fly fanatics
352702,High-Value Frequent Flyers
352747,High-Value Low transactions
352809,New Low-Value Customers
352834,New engaged
352916,Fly fanatics
353032,Fly fanatics
353076,High-Value Low transactions
353096,Long-tenure
353128,Long-tenure
353308,New Low-Value Customers
353369,Reengaged Customers
353396,New engaged
353455,High-Value Frequent Flyers
353486,Long-tenure
353648,Lost Occasional Travelers
353786,New Low-Value Customers
354002,New engaged
354084,Long-tenure
354150,New engaged
354176,Lost Occasional Travelers
354206,New Low-Value Customers
354295,New engaged
354442,New engaged
354461,Fly fanatics
354464,Fly fanatics
354477,Fly fanatics
354483,High-Value Frequent Flyers
354547,Long-tenure
354730,Lost Occasional Travelers
355039,New engaged
355099,New Low-Value Customers
355102,New Low-Value Customers
355126,Fly fanatics
355184,Long-tenure
355298,Long-tenure
355331,Long-tenure
355491,New engaged
355512,New Low-Value Customers
355515,Long-tenure
355578,High-Value Low transactions
355669,New engaged
355707,New Low-Value Customers
355724,New Low-Value Customers
355750,New engaged
355775,Long-tenure
355795,High-Value Frequent Flyers
355839,New Low-Value Customers
355906,Long-tenure
355908,Long-tenure
355994,Long-tenure
355995,Long-tenure
356237,Fly fanatics
356240,High-Value Low transactions
356460,New engaged
356507,Fly fanatics
356558,Long-tenure
356561,New engaged
356578,New engaged
356613,High-Value Frequent Flyers
356618,Long-tenure
356708,New Low-Value Customers
356712,Long-tenure
356812,Fly fanatics
356828,New engaged
356955,High-Value Frequent Flyers
356980,Long-tenure
357059,New engaged
357138,Long-tenure
357149,New engaged
357161,Long-tenure
357173,Fly fanatics
357199,New engaged
357298,High-Value Frequent Flyers
357375,New engaged
357381,Fly fanatics
357466,Long-tenure
357567,Long-tenure
357574,Fly fanatics
357589,Fly fanatics
357903,New Low-Value Customers
357971,Long-tenure
357988,Fly fanatics
358012,New Low-Value Customers
358020,Long-tenure
358039,New Low-Value Customers
358054,Lost Occasional Travelers
358151,New Low-Value Customers
358201,New engaged
358384,Fly fanatics
358513,Long-tenure
358792,Fly fanatics
358794,Long-tenure
358900,New engaged
358968,New Low-Value Customers
358979,Long-tenure
358997,High-Value Low transactions
359011,High-Value Frequent Flyers
359029,New Low-Value Customers
359091,Fly fanatics
359133,New engaged
359188,Lost Occasional Travelers
359275,Long-tenure
359360,Long-tenure
359446,Fly fanatics
359466,New engaged
359575,High-Value Frequent Flyers
359693,Long-tenure
359816,New engaged
360017,Fly fanatics
360031,New Low-Value Customers
360240,New Low-Value Customers
360256,New engaged
360435,New engaged
360446,New engaged
360472,Long-tenure
360537,Long-tenure
360730,Fly fanatics
360732,New Low-Value Customers
360805,Fly fanatics
360868,Reengaged Customers
360902,New engaged
360942,Long-tenure
360981,High-Value Low transactions
361109,Long-tenure
361266,New engaged
361434,Fly fanatics
361439,Long-tenure
361707,Fly fanatics
361816,Fly fanatics
361827,Fly fanatics
361892,Fly fanatics
361944,Lost Occasional Travelers
362055,Long-tenure
362134,New Low-Value Customers
362165,New engaged
362167,Long-tenure
362201,High-Value Frequent Flyers
362293,New engaged
362471,Fly fanatics
362541,Fly fanatics
362586,Long-tenure
362642,Fly fanatics
362680,Fly fanatics
362736,Long-tenure
362742,High-Value Low transactions
362841,New engaged
362855,New engaged
362925,Fly fanatics
363178,Lost Occasional Travelers
363199,New engaged
363314,Long-tenure
363743,High-Value Frequent Flyers
363774,Long-tenure
363780,High-Value Low transactions
363864,New engaged
363866,Lost Occasional Travelers
363925,New Low-Value Customers
363967,New Low-Value Customers
363983,High-Value Low transactions
364049,Long-tenure
364067,Long-tenure
364137,Long-tenure
364153,High-Value Frequent Flyers
364264,Fly fanatics
364356,Fly fanatics
364596,High-Value Low transactions
364710,High-Value Low transactions
364895,High-Value Frequent Flyers
364908,Fly fanatics
364931,New engaged
365138,New engaged
365156,New Low-Value Customers
365166,New Low-Value Customers
365208,High-Value Low transactions
365346,Fly fanatics
365404,Long-tenure
365413,New Low-Value Customers
365421,New engaged
365451,High-Value Frequent Flyers
365468,New engaged
365515,Long-tenure
365557,High-Value Frequent Flyers
365596,New engaged
365619,High-Value Frequent Flyers
365635,Long-tenure
365642,New engaged
365761,New engaged
365816,New engaged
365863,High-Value Frequent Flyers
365887,High-Value Low transactions
366049,New Low-Value Customers
366116,New engaged
366133,New engaged
366161,New Low-Value Customers
366250,New Low-Value Customers
366263,New engaged
366467,Long-tenure
366487,New engaged
366500,High-Value Frequent Flyers
366537,New engaged
366540,New engaged
366599,Fly fanatics
366654,Long-tenure
366687,High-Value Low transactions
366719,New Low-Value Customers
366727,Lost Occasional Travelers
366744,Long-tenure
366894,Fly fanatics
366911,Long-tenure
366932,New Low-Value Customers
366977,High-Value Low transactions
367338,Fly fanatics
367492,New engaged
367511,Fly fanatics
367547,New engaged
367562,Long-tenure
367617,Lost Occasional Travelers
367680,High-Value Frequent Flyers
367685,New Low-Value Customers
367697,New engaged
367751,Long-tenure
367774,Long-tenure
367782,New Low-Value Customers
367811,New Low-Value Customers
367961,Long-tenure
368027,High-Value Frequent Flyers
368045,Fly fanatics
368062,Lost Occasional Travelers
368118,New Low-Value Customers
368122,New engaged
368292,Lost Occasional Travelers
368330,Fly fanatics
368391,New Low-Value Customers
368435,New Low-Value Customers
368523,New Low-Value Customers
368549,Long-tenure
368566,High-Value Frequent Flyers
368591,Long-tenure
368669,New Low-Value Customers
368675,New Low-Value Customers
368713,New Low-Value Customers
368772,New Low-Value Customers
368981,High-Value Frequent Flyers
369000,Fly fanatics
369035,High-Value Frequent Flyers
369084,New engaged
369091,Long-tenure
369121,Fly fanatics
369141,Long-tenure
369229,High-Value Frequent Flyers
369242,Fly fanatics
369361,Long-tenure
369392,Fly fanatics
369416,New Low-Value Customers
369458,Fly fanatics
369569,Long-tenure
369603,Long-tenure
369646,New engaged
369658,Long-tenure
369682,Long-tenure
369715,New Low-Value Customers
369739,Fly fanatics
369795,New Low-Value Customers
369841,Fly fanatics
369853,New Low-Value Customers
369867,New Low-Value Customers
369943,Fly fanatics
370014,New engaged
370066,Fly fanatics
370090,Fly fanatics
370093,Long-tenure
370300,Long-tenure
370405,Lost Occasional Travelers
370443,Fly fanatics
370450,Long-tenure
370486,New engaged
370517,Fly fanatics
370539,Long-tenure
370660,New Low-Value Customers
370744,New engaged
370842,Long-tenure
370877,Fly fanatics
370959,New Low-Value Customers
370990,Long-tenure
371065,Fly fanatics
371079,Long-tenure
371148,High-Value Low transactions
371152,Long-tenure
371159,Fly fanatics
371164,Fly fanatics
371191,New engaged
371368,New Low-Value Customers
371402,New Low-Value Customers
371422,New engaged
371511,Fly fanatics
371532,New engaged
371580,Long-tenure
371606,Long-tenure
371672,Long-tenure
371675,New engaged
371737,New Low-Value Customers
371739,Fly fanatics
371875,Long-tenure
371969,High-Value Frequent Flyers
372069,New engaged
372111,New engaged
372175,Lost Occasional Travelers
372183,Long-tenure
372237,Long-tenure
372261,New engaged
372290,New engaged
372353,Long-tenure
372522,Lost Occasional Travelers
372622,Long-tenure
372647,High-Value Frequent Flyers
372652,Long-tenure
372663,High-Value Low transactions
372737,New Low-Value Customers
372755,New engaged
372824,Fly fanatics
372865,Lost Occasional Travelers
372961,Lost Occasional Travelers
373044,New engaged
373144,Long-tenure
373204,New Low-Value Customers
373242,High-Value Low transactions
373374,Long-tenure
373501,New engaged
373554,New Low-Value Customers
373737,Lost Occasional Travelers
373771,New Low-Value Customers
373886,New engaged
373888,New Low-Value Customers
373898,Fly fanatics
373950,Fly fanatics
374107,New engaged
374117,Long-tenure
374266,Fly fanatics
374275,Fly fanatics
374293,New Low-Value Customers
374344,New Low-Value Customers
374345,Fly fanatics
374401,New engaged
374421,New Low-Value Customers
374440,Fly fanatics
374585,Long-tenure
374639,Long-tenure
374679,New engaged
374721,High-Value Low transactions
374736,Long-tenure
374850,Fly fanatics
374881,Long-tenure
374931,Long-tenure
374941,New engaged
374967,High-Value Frequent Flyers
374984,Long-tenure
375056,New Low-Value Customers
375105,Long-tenure
375203,Lost Occasional Travelers
375265,New engaged
375297,New engaged
375399,New engaged
375430,Fly fanatics
375451,New Low-Value Customers
375511,Fly fanatics
375540,Long-tenure
375597,New engaged
375683,New engaged
375694,Long-tenure
375722,New engaged
375757,Long-tenure
375768,Long-tenure
375792,New Low-Value Customers
375814,Long-tenure
375890,New engaged
375909,High-Value Frequent Flyers
375987,Fly fanatics
376072,Fly fanatics
376144,High-Value Low transactions
376299,High-Value Frequent Flyers
376367,Reengaged Customers
376424,New engaged
376484,High-Value Frequent Flyers
376572,Long-tenure
376618,Long-tenure
376630,Lost Occasional Travelers
376725,High-Value Frequent Flyers
376862,New engaged
376863,Long-tenure
376929,Lost Occasional Travelers
376969,New engaged
376983,Reengaged Customers
377029,Long-tenure
377050,Long-tenure
377114,Long-tenure
377173,Long-tenure
377247,Long-tenure
377288,Long-tenure
377289,Fly fanatics
377302,Lost Occasional Travelers
377322,New engaged
377375,New Low-Value Customers
377444,Lost Occasional Travelers
377464,High-Value Frequent Flyers
377471,Fly fanatics
377489,Lost Occasional Travelers
377674,Fly fanatics
377724,High-Value Frequent Flyers
377742,New Low-Value Customers
377928,High-Value Low transactions
377968,Long-tenure
378014,New engaged
378153,New Low-Value Customers
378181,Long-tenure
378267,Long-tenure
378454,Long-tenure
378793,Long-tenure
378827,Long-tenure
378857,Fly fanatics
378920,Long-tenure
378968,New engaged
379038,New Low-Value Customers
379041,New Low-Value Customers
379110,New engaged
379117,Lost Occasional Travelers
379120,Fly fanatics
379238,Fly fanatics
379281,New engaged
379351,New engaged
379384,Fly fanatics
379414,New engaged
379446,New Low-Value Customers
379506,Long-tenure
379562,High-Value Frequent Flyers
379572,Fly fanatics
379629,Long-tenure
379716,Fly fanatics
379752,New engaged
379836,High-Value Frequent Flyers
379962,Long-tenure
380001,High-Value Frequent Flyers
380031,Long-tenure
380059,Long-tenure
380099,New engaged
380110,Long-tenure
380183,New engaged
380247,Long-tenure
380255,Fly fanatics
380262,High-Value Frequent Flyers
380294,New engaged
380526,New engaged
380627,Fly fanatics
380709,High-Value Low transactions
380788,Lost Occasional Travelers
380795,Long-tenure
380843,High-Value Frequent Flyers
380928,Long-tenure
380954,High-Value Low transactions
381065,Lost Occasional Travelers
381189,Fly fanatics
381234,Fly fanatics
381284,New engaged
381307,Long-tenure
381308,New Low-Value Customers
381316,Long-tenure
381395,Fly fanatics
381459,Long-tenure
381472,Fly fanatics
381496,New engaged
381539,New Low-Value Customers
381651,Fly fanatics
381717,New Low-Value Customers
381748,Fly fanatics
381786,Reengaged Customers
381901,Long-tenure
382149,Long-tenure
382197,Lost Occasional Travelers
382243,Long-tenure
382252,High-Value Frequent Flyers
382271,Fly fanatics
382464,Fly fanatics
382671,New engaged
382738,New engaged
382739,New Low-Value Customers
382748,New engaged
382889,New Low-Value Customers
382953,Long-tenure
382980,Long-tenure
383108,Long-tenure
383147,Fly fanatics
383190,Fly fanatics
383202,Long-tenure
383367,New Low-Value Customers
383391,New Low-Value Customers
383399,Lost Occasional Travelers
383421,Long-tenure
383627,Long-tenure
383656,New engaged
383701,New Low-Value Customers
383787,Fly fanatics
383808,Fly fanatics
383826,Long-tenure
383842,New engaged
383891,Long-tenure
383898,New Low-Value Customers
383912,Long-tenure
383954,Lost Occasional Travelers
383962,New Low-Value Customers
383969,New Low-Value Customers
384010,New Low-Value Customers
384090,Long-tenure
384146,New Low-Value Customers
384269,Fly fanatics
384286,New engaged
384328,New engaged
384336,Fly fanatics
384356,New Low-Value Customers
384409,High-Value Low transactions
384412,New Low-Value Customers
384543,Fly fanatics
384548,New Low-Value Customers
384599,High-Value Frequent Flyers
384602,Lost Occasional Travelers
384686,Long-tenure
384744,Fly fanatics
384750,Long-tenure
384825,Long-tenure
384920,Long-tenure
384928,New engaged
384986,Fly fanatics
385092,New Low-Value Customers
385131,Long-tenure
385190,Long-tenure
385235,Long-tenure
385358,High-Value Frequent Flyers
385593,Fly fanatics
385638,Lost Occasional Travelers
385718,Fly fanatics
385861,New Low-Value Customers
385864,Long-tenure
385912,High-Value Frequent Flyers
386037,Fly fanatics
386082,New Low-Value Customers
386298,New Low-Value Customers
386342,High-Value Frequent Flyers
386363,Long-tenure
386446,New Low-Value Customers
386607,Long-tenure
386649,New engaged
386790,New engaged
386825,New engaged
386926,High-Value Frequent Flyers
386936,New Low-Value Customers
386979,New Low-Value Customers
386986,Long-tenure
387121,Fly fanatics
387129,Long-tenure
387214,New Low-Value Customers
387307,New Low-Value Customers
387455,New engaged
387506,Fly fanatics
387523,Long-tenure
387553,New Low-Value Customers
387568,Long-tenure
387570,Long-tenure
387584,Long-tenure
387648,Fly fanatics
387650,New engaged
387695,New engaged
387705,Long-tenure
387721,High-Value Frequent Flyers
387834,New engaged
387880,Fly fanatics
387971,Long-tenure
388046,New engaged
388140,High-Value Frequent Flyers
388156,Fly fanatics
388292,Long-tenure
388448,Fly fanatics
388478,New Low-Value Customers
388624,New engaged
388639,Long-tenure
388777,Fly fanatics
388985,Fly fanatics
389146,New engaged
389225,High-Value Frequent Flyers
389387,New Low-Value Customers
389429,New engaged
389488,New engaged
389551,Long-tenure
389565,New engaged
389583,New engaged
389706,High-Value Frequent Flyers
389741,New Low-Value Customers
389804,Long-tenure
389812,New Low-Value Customers
389928,High-Value Frequent Flyers
389995,Long-tenure
389996,Lost Occasional Travelers
390022,New Low-Value Customers
390117,New engaged
390190,Fly fanatics
390203,Long-tenure
390209,Long-tenure
390297,High-Value Low transactions
390343,New engaged
390350,Long-tenure
390377,Lost Occasional Travelers
390434,Fly fanatics
390435,New engaged
390480,High-Value Low transactions
390546,New engaged
390874,New engaged
390880,High-Value Frequent Flyers
390911,Fly fanatics
390924,Lost Occasional Travelers
390974,Fly fanatics
390980,Lost Occasional Travelers
391034,Long-tenure
391106,Long-tenure
391313,New Low-Value Customers
391357,Lost Occasional Travelers
391397,New engaged
391402,New engaged
391509,New engaged
391542,Fly fanatics
391557,New Low-Value Customers
391564,Long-tenure
391611,High-Value Frequent Flyers
391673,Long-tenure
391761,New engaged
391861,Fly fanatics
391900,New Low-Value Customers
391927,New engaged
391939,New engaged
392098,New engaged
392206,Long-tenure
392235,Long-tenure
392335,Long-tenure
392402,Long-tenure
392430,Fly fanatics
392575,High-Value Frequent Flyers
392582,Fly fanatics
392619,Long-tenure
392682,New Low-Value Customers
392713,New Low-Value Customers
392774,Fly fanatics
392785,Fly fanatics
392802,Fly fanatics
392953,New Low-Value Customers
392989,New Low-Value Customers
393101,Reengaged Customers
393130,Reengaged Customers
393206,Long-tenure
393309,Fly fanatics
393329,New Low-Value Customers
393380,Fly fanatics
393403,New engaged
393565,Long-tenure
393604,New Low-Value Customers
393806,Long-tenure
393853,Long-tenure
393888,Long-tenure
394078,New engaged
394167,Long-tenure
394195,Lost Occasional Travelers
394196,New Low-Value Customers
394213,Lost Occasional Travelers
394248,Long-tenure
394321,Fly fanatics
394363,New Low-Value Customers
394454,Fly fanatics
394569,Lost Occasional Travelers
394715,Long-tenure
394806,Long-tenure
394812,Long-tenure
394927,New Low-Value Customers
394941,New engaged
394946,Lost Occasional Travelers
394979,Long-tenure
395026,Fly fanatics
395121,New engaged
395168,New engaged
395324,High-Value Frequent Flyers
395384,Fly fanatics
395446,New Low-Value Customers
395460,Long-tenure
395511,New engaged
395525,Long-tenure
395622,High-Value Frequent Flyers
395639,Fly fanatics
395871,New engaged
395887,Fly fanatics
395912,New engaged
395962,New Low-Value Customers
396018,Long-tenure
396048,New Low-Value Customers
396155,High-Value Frequent Flyers
396267,Long-tenure
396446,High-Value Frequent Flyers
396471,High-Value Frequent Flyers
396726,New engaged
396863,New engaged
396867,High-Value Low transactions
396920,High-Value Frequent Flyers
396984,Long-tenure
396996,Long-tenure
396997,Long-tenure
396998,High-Value Low transactions
397053,Fly fanatics
397065,High-Value Low transactions
397099,High-Value Low transactions
397104,Long-tenure
397141,Long-tenure
397242,Lost Occasional Travelers
397248,Long-tenure
397377,New engaged
397480,High-Value Frequent Flyers
397518,New Low-Value Customers
397533,Long-tenure
397706,Long-tenure
397787,New Low-Value Customers
397817,Long-tenure
397820,Fly fanatics
397934,High-Value Low transactions
397947,Long-tenure
398086,Long-tenure
398305,New Low-Value Customers
398351,High-Value Frequent Flyers
398506,High-Value Frequent Flyers
398535,New Low-Value Customers
398586,High-Value Frequent Flyers
398603,Fly fanatics
398611,Long-tenure
398655,New Low-Value Customers
398819,Fly fanatics
398839,High-Value Frequent Flyers
398846,High-Value Low transactions
398924,High-Value Frequent Flyers
398965,High-Value Frequent Flyers
399065,Long-tenure
399101,Lost Occasional Travelers
399214,New engaged
399251,Long-tenure
399372,High-Value Frequent Flyers
399379,Long-tenure
399397,Long-tenure
399417,Long-tenure
399418,Fly fanatics
399514,Lost Occasional Travelers
399555,New Low-Value Customers
399575,Fly fanatics
399666,New Low-Value Customers
399670,Long-tenure
399678,Long-tenure
399704,New engaged
399943,High-Value Frequent Flyers
399973,Long-tenure
399982,Long-tenure
400030,Long-tenure
400079,New engaged
400181,Fly fanatics
400224,Fly fanatics
400265,Fly fanatics
400272,New Low-Value Customers
400313,New engaged
400392,Fly fanatics
400404,Lost Occasional Travelers
400470,Long-tenure
400478,Lost Occasional Travelers
400486,Fly fanatics
400600,New Low-Value Customers
400702,New engaged
400802,High-Value Frequent Flyers
400958,New engaged
400979,New engaged
400985,Long-tenure
401007,New engaged
401036,Long-tenure
401055,Long-tenure
401060,New engaged
401062,New Low-Value Customers
401101,New engaged
401336,Long-tenure
401350,Reengaged Customers
401422,New Low-Value Customers
401424,Lost Occasional Travelers
401454,Long-tenure
401645,Fly fanatics
401710,High-Value Frequent Flyers
401722,Long-tenure
401760,Fly fanatics
401766,Fly fanatics
401769,Fly fanatics
401824,High-Value Frequent Flyers
401834,New engaged
401857,Fly fanatics
401858,Lost Occasional Travelers
401859,Long-tenure
401956,New engaged
402034,New engaged
402052,Long-tenure
402082,Long-tenure
402177,Reengaged Customers
402251,New engaged
402332,Long-tenure
402390,Lost Occasional Travelers
402638,New engaged
402706,Long-tenure
402918,New Low-Value Customers
402964,Long-tenure
402966,High-Value Low transactions
403052,New Low-Value Customers
403118,Fly fanatics
403185,New engaged
403282,New Low-Value Customers
403361,New Low-Value Customers
403463,New Low-Value Customers
403473,Long-tenure
403500,High-Value Frequent Flyers
403507,Long-tenure
403675,High-Value Frequent Flyers
403764,High-Value Low transactions
403856,New Low-Value Customers
403893,Long-tenure
404011,Long-tenure
404012,New Low-Value Customers
404106,High-Value Frequent Flyers
404233,Long-tenure
404314,Fly fanatics
404339,High-Value Low transactions
404417,Long-tenure
404426,Long-tenure
404431,Long-tenure
404434,Long-tenure
404475,High-Value Frequent Flyers
404720,Fly fanatics
404742,High-Value Frequent Flyers
404801,New Low-Value Customers
404805,High-Value Low transactions
404846,Long-tenure
404920,New engaged
405201,New engaged
405318,Long-tenure
405339,New engaged
405351,High-Value Frequent Flyers
405418,Long-tenure
405442,Long-tenure
405500,Fly fanatics
405597,Long-tenure
405602,New engaged
405698,New Low-Value Customers
405699,Long-tenure
405735,New engaged
405739,Lost Occasional Travelers
405768,Lost Occasional Travelers
405804,Fly fanatics
405928,Long-tenure
406047,Fly fanatics
406099,New Low-Value Customers
406176,Long-tenure
406252,High-Value Low transactions
406254,Long-tenure
406287,Lost Occasional Travelers
406294,Long-tenure
406367,New Low-Value Customers
406369,New Low-Value Customers
406373,New engaged
406411,High-Value Frequent Flyers
406564,Fly fanatics
406574,Fly fanatics
406810,High-Value Frequent Flyers
407008,New Low-Value Customers
407032,New engaged
407119,New engaged
407173,Long-tenure
407238,Long-tenure
407305,Long-tenure
407340,Long-tenure
407377,Fly fanatics
407411,Fly fanatics
407433,Fly fanatics
407468,Long-tenure
407478,Lost Occasional Travelers
407768,Long-tenure
407798,Fly fanatics
407933,High-Value Frequent Flyers
407945,Long-tenure
407999,Long-tenure
408047,Long-tenure
408091,Lost Occasional Travelers
408134,New Low-Value Customers
408259,New engaged
408309,New engaged
408347,New Low-Value Customers
408378,New Low-Value Customers
408468,New Low-Value Customers
408493,New engaged
408500,Fly fanatics
408561,Fly fanatics
408651,New engaged
408838,Long-tenure
408863,Fly fanatics
408886,Long-tenure
408915,High-Value Low transactions
408931,Fly fanatics
408990,Long-tenure
409051,High-Value Frequent Flyers
409102,Long-tenure
409156,New engaged
409174,New Low-Value Customers
409454,Fly fanatics
409512,Long-tenure
409603,New engaged
409684,New engaged
409741,Fly fanatics
409768,New Low-Value Customers
409798,New engaged
409908,Fly fanatics
409914,Fly fanatics
409951,Fly fanatics
409984,New Low-Value Customers
409989,New Low-Value Customers
410202,High-Value Frequent Flyers
410209,New engaged
410218,New engaged
410341,Fly fanatics
410343,Lost Occasional Travelers
410347,Long-tenure
410384,Long-tenure
410460,Lost Occasional Travelers
410544,Long-tenure
410552,New engaged
410558,New engaged
410702,Fly fanatics
410790,Long-tenure
410921,Fly fanatics
410938,High-Value Frequent Flyers
410958,New Low-Value Customers
410963,New engaged
410982,New engaged
411094,New engaged
411116,Long-tenure
411204,Fly fanatics
411272,New Low-Value Customers
411296,New Low-Value Customers
411298,New engaged
411365,New Low-Value Customers
411420,High-Value Frequent Flyers
411533,Long-tenure
411583,Fly fanatics
411586,High-Value Frequent Flyers
411686,Long-tenure
411690,Fly fanatics
411715,New Low-Value Customers
411744,High-Value Frequent Flyers
411876,Fly fanatics
411897,Long-tenure
412024,Fly fanatics
412133,Fly fanatics
412186,High-Value Frequent Flyers
412203,Long-tenure
412284,Long-tenure
412394,High-Value Frequent Flyers
412402,Fly fanatics
412429,New engaged
412480,New Low-Value Customers
412487,Long-tenure
412743,Reengaged Customers
412793,Long-tenure
412803,Fly fanatics
412817,High-Value Frequent Flyers
412854,New engaged
412880,High-Value Frequent Flyers
412902,Fly fanatics
412944,Long-tenure
412995,New engaged
413050,Fly fanatics
413052,High-Value Frequent Flyers
413088,Long-tenure
413101,Long-tenure
413115,Long-tenure
413185,New engaged
413243,Long-tenure
413266,New engaged
413282,New engaged
413330,Lost Occasional Travelers
413345,Long-tenure
413347,New engaged
413426,Long-tenure
413445,Lost Occasional Travelers
413459,High-Value Frequent Flyers
413620,New engaged
413659,High-Value Low transactions
413741,New engaged
413798,Fly fanatics
413815,Long-tenure
413853,High-Value Low transactions
413994,High-Value Frequent Flyers
414033,New engaged
414157,Long-tenure
414164,New engaged
414207,New engaged
414211,High-Value Frequent Flyers
414239,High-Value Frequent Flyers
414305,New engaged
414318,Long-tenure
414382,New Low-Value Customers
414433,High-Value Frequent Flyers
414584,Fly fanatics
414727,Long-tenure
414741,Long-tenure
414757,Long-tenure
415067,Long-tenure
415077,Long-tenure
415088,New Low-Value Customers
415090,New Low-Value Customers
415148,Fly fanatics
415201,New Low-Value Customers
415327,New engaged
415332,High-Value Frequent Flyers
415341,New engaged
415372,Long-tenure
415381,High-Value Frequent Flyers
415402,New engaged
415441,New engaged
415446,High-Value Low transactions
415862,New engaged
415896,New engaged
415915,New engaged
415916,New engaged
416091,New Low-Value Customers
416105,New Low-Value Customers
416124,Long-tenure
416127,Long-tenure
416216,Long-tenure
416575,Fly fanatics
416620,New Low-Value Customers
416768,New engaged
416783,Long-tenure
416940,Lost Occasional Travelers
416973,Fly fanatics
417001,New Low-Value Customers
417082,Long-tenure
417118,Fly fanatics
417274,New engaged
417507,New engaged
417564,Long-tenure
417584,Long-tenure
417825,New engaged
417838,Long-tenure
417886,Long-tenure
417904,New engaged
417929,Fly fanatics
418090,New engaged
418166,Fly fanatics
418281,Fly fanatics
418327,High-Value Frequent Flyers
418470,New Low-Value Customers
418636,New Low-Value Customers
418718,New Low-Value Customers
418753,New engaged
418779,Fly fanatics
418784,High-Value Low transactions
418793,Long-tenure
418910,Fly fanatics
418930,New engaged
418938,New Low-Value Customers
418958,Fly fanatics
418990,Long-tenure
419182,Fly fanatics
419237,Lost Occasional Travelers
419275,Fly fanatics
419377,High-Value Frequent Flyers
419493,High-Value Frequent Flyers
419522,High-Value Frequent Flyers
419540,Long-tenure
419570,Fly fanatics
419626,New Low-Value Customers
419648,New Low-Value Customers
419661,New Low-Value Customers
419732,New Low-Value Customers
419748,Long-tenure
419749,Fly fanatics
419758,Long-tenure
419776,Long-tenure
419818,New engaged
419893,New engaged
419953,Fly fanatics
419973,High-Value Frequent Flyers
420008,Long-tenure
420010,New Low-Value Customers
420126,New Low-Value Customers
420148,New engaged
420202,High-Value Low transactions
420204,New Low-Value Customers
420222,Long-tenure
420243,New Low-Value Customers
420339,Fly fanatics
420394,New engaged
420434,New engaged
420439,Long-tenure
420457,Long-tenure
420481,Long-tenure
420488,Long-tenure
420490,New engaged
420508,Fly fanatics
420515,Fly fanatics
420590,High-Value Low transactions
420627,New engaged
420738,Long-tenure
420786,Long-tenure
420856,New Low-Value Customers
420890,New Low-Value Customers
421001,Long-tenure
421191,Fly fanatics
421252,New Low-Value Customers
421310,Lost Occasional Travelers
421458,Long-tenure
421497,Fly fanatics
421580,Long-tenure
421691,Fly fanatics
421744,Fly fanatics
421748,Fly fanatics
421752,New Low-Value Customers
421822,New Low-Value Customers
421923,New engaged
421930,New engaged
422121,Fly fanatics
422152,Fly fanatics
422164,High-Value Low transactions
422204,Long-tenure
422245,New Low-Value Customers
422276,Long-tenure
422320,New engaged
422349,Long-tenure
422358,Fly fanatics
422398,Long-tenure
422436,New Low-Value Customers
422496,Long-tenure
422750,Long-tenure
422787,New engaged
422803,New engaged
422805,New engaged
422989,Lost Occasional Travelers
423035,Fly fanatics
423096,Fly fanatics
423119,Lost Occasional Travelers
423153,New Low-Value Customers
423201,Long-tenure
423228,Fly fanatics
423254,Fly fanatics
423272,Long-tenure
423324,New Low-Value Customers
423336,High-Value Low transactions
423409,New Low-Value Customers
423432,New engaged
423473,New Low-Value Customers
423598,High-Value Frequent Flyers
423609,Long-tenure
423686,New engaged
423821,Long-tenure
423941,Fly fanatics
423978,Long-tenure
424012,New engaged
424098,High-Value Frequent Flyers
424100,New engaged
424126,Fly fanatics
424139,New engaged
424208,Long-tenure
424216,High-Value Frequent Flyers
424270,High-Value Low transactions
424337,High-Value Frequent Flyers
424403,Fly fanatics
424451,New Low-Value Customers
424526,New engaged
424540,Long-tenure
424585,Lost Occasional Travelers
424688,New engaged
424793,High-Value Frequent Flyers
424812,High-Value Frequent Flyers
424837,New engaged
424917,New engaged
424983,Long-tenure
425294,Long-tenure
425411,Long-tenure
425436,Fly fanatics
425445,Long-tenure
425472,Long-tenure
425567,Long-tenure
425620,New Low-Value Customers
425687,New Low-Value Customers
425717,Long-tenure
425720,Long-tenure
425779,Lost Occasional Travelers
425826,New Low-Value Customers
425854,New engaged
425940,New engaged
426027,New engaged
426124,New engaged
426185,New engaged
426223,Fly fanatics
426302,New Low-Value Customers
426317,New engaged
426351,New engaged
426384,Fly fanatics
426414,High-Value Frequent Flyers
426429,Fly fanatics
426439,Long-tenure
426530,Long-tenure
426533,Fly fanatics
426536,Long-tenure
426698,Long-tenure
426720,New engaged
426791,Long-tenure
426958,Long-tenure
426981,Fly fanatics
426990,Fly fanatics
426994,New engaged
427036,Long-tenure
427140,Fly fanatics
427163,Fly fanatics
427177,High-Value Frequent Flyers
427329,Fly fanatics
427354,New Low-Value Customers
427358,New engaged
427388,Lost Occasional Travelers
427444,New Low-Value Customers
427733,Fly fanatics
427919,Fly fanatics
427976,Long-tenure
427980,Fly fanatics
428020,Fly fanatics
428114,High-Value Frequent Flyers
428129,High-Value Frequent Flyers
428130,Long-tenure
